Count,Position,Team,Age,Passes,Number of passes,Passes pct,Goals
0.5,MF,Serbia,34,Completed,90,35.45,0
0.5,FW,Serbia,22,Completed,6,27.25,0.5
0.5,DF,Tunisia,27,Completed,75,38.25,0
0.5,MF,Belgium,31,Completed,46,39.65,0
0.5,GK,Brazil,29,Completed,28,45.15,0
0.5,FW,Switzerland,26,Completed,65,39.65,0
0.5,FW,Uruguay,35,Completed,27,36.5,0
0.5,GK,Senegal,30,Completed,88,36.65,0
0.5,MF,Mexico,25,Completed,86,37.7,0
0.5,DF,France,20,Completed,67,42.95,0
0.5,MF,IR Iran,32,Completed,61,31.1,0
0.5,MF,Tunisia,27,Completed,109,42.9,0
0.5,GK,Argentina,30,Completed,73,38.85,0
0.5,FW,Ecuador,33,Completed,40,35.1,1.5
0.5,DF,Cameroon,23,Completed,34,44.75,0
0.5,MF,Argentina,21,Completed,232,44.6,0.5
0.5,DF,Switzerland,24,Completed,38,45.25,0
0.5,DF,England,28,Completed,40,48.8,0
0.5,FW,Cameroon,33,Completed,44,33.35,0.5
0.5,MF,Mexico,27,Completed,24,41.4,0
0.5,MF,Wales,22,Completed,108,37.5,0
0.5,MF,Brazil,33,Completed,15,41.65,0
0.5,MF,Argentina,24,Completed,11,42.3,0
0.5,MF,Switzerland,33,Completed,9,32.15,0
0.5,FW,Switzerland,20,Completed,13,25,0
0.5,DF,Switzerland,30,Completed,65,39.65,0
0.5,MF,Brazil,29,Completed,51,44.75,0
0.5,MF,Uruguay,20,Completed,32,34.8,0
0.5,FW,Senegal,29,Completed,10,35.7,0.5
0.5,MF,Uruguay,24,Completed,159,42.05,0
0.5,MF,Tunisia,30,Completed,25,36.75,0
0.5,FW,Spain,22,Completed,59,34.7,1
0.5,DF,Serbia,30,Completed,72,31.85,0
0.5,DF,Serbia,31,Completed,20,40,0
0.5,MF,Serbia,30,Completed,5,41.65,0
0.5,MF,Saudi Arabia,22,Completed,42,33.35,0
0.5,DF,Senegal,25,Completed,5,31.25,0
0.5,DF,Australia,26,Completed,33,30.55,0
0.5,DF,Costa Rica,30,Completed,86,41.35,0
0.5,MF,Brazil,29,Completed,69,42.6,0
0.5,MF,Netherlands,25,Completed,240,44.3,0.5
0.5,DF,Ecuador,25,Completed,168,40.4,0
0.5,FW,Brazil,25,Completed,22,39.3,0
0.5,FW,Australia,18,Completed,3,30,0
0.5,FW,Wales,33,Completed,33,31.15,0.5
0.5,MF,Spain,18,Completed,133,43.2,0.5
0.5,MF,Cameroon,27,Completed,17,44.75,0
0.5,FW,Cameroon,27,Completed,9,37.5,0
0.5,DF,Argentina,31,Completed,18,50,0
0.5,MF,Costa Rica,25,Completed,16,50,0
0.5,MF,Tunisia,28,Completed,3,37.5,0
0.5,DF,Ghana,24,Completed,36,39.15,0
0.5,FW,United States,20,Completed,26,34.2,0
0.5,MF,Uruguay,28,Completed,32,30.75,1
0.5,DF,Brazil,25,Completed,78,46.45,0
0.5,DF,Argentina,25,Completed,52,45.6,0
0.5,MF,Ecuador,22,Completed,77,37,0
0.5,FW,Portugal,21,Completed,18,40.9,1.5
0.5,MF,Switzerland,30,Completed,215,44.25,0
0.5,GK,Switzerland,25,Completed,21,36.2,0
0.5,MF,Poland,32,Completed,93,36.6,0
0.5,MF,Argentina,28,Completed,54,42.2,0
0.5,GK,Mexico,37,Completed,93,42.65,0
0.5,DF,Uruguay,29,Completed,62,33.7,0
0.5,FW,United States,24,Completed,20,37.05,0.5
0.5,FW,Morocco,29,Completed,92,31.7,0.5
0.5,MF,Tunisia,19,Completed,2,50,0
0.5,FW,Switzerland,30,Completed,10,35.7,0
0.5,FW,England,29,Completed,49,32.65,0.5
0.5,DF,England,29,Completed,276,43.65,0
0.5,DF,Australia,24,Completed,138,41.3,0
0.5,MF,Wales,25,Completed,48,37.5,0
0.5,DF,Saudi Arabia,23,Completed,40,36.35,0
0.5,MF,Qatar,31,Completed,65,40.65,0
