format_raw,Format,Metric,Year,count,Revenue [m$],Units [m]
LP/EP,Vinyl,Units,2004,1,0,1.4
LP/EP,Vinyl,Units,2005,1,0,1
LP/EP,Vinyl,Units,2006,1,0,0.9
LP/EP,Vinyl,Units,2007,1,0,1.3
LP/EP,Vinyl,Units,2008,1,0,2.9
LP/EP,Vinyl,Units,2009,1,0,3.5
LP/EP,Vinyl,Units,2010,1,0,4.2
LP/EP,Vinyl,Units,2011,1,0,5.5
LP/EP,Vinyl,Units,2012,1,0,6.915365189
LP/EP,Vinyl,Units,2013,1,0,9.35128587
LP/EP,Vinyl,Units,2014,1,0,10.31556391
LP/EP,Vinyl,Units,2015,1,0,13.68102972
LP/EP,Vinyl,Units,2016,1,0,14.77088603
LP/EP,Vinyl,Units,2017,1,0,15.55608917
LP/EP,Vinyl,Units,2018,1,0,16.67012733
LP/EP,Vinyl,Units,2019,1,0,19.10316283
Vinyl Single,Vinyl,Units,1973,1,0,228
Vinyl Single,Vinyl,Units,1974,1,0,204
Vinyl Single,Vinyl,Units,1975,1,0,164
Vinyl Single,Vinyl,Units,1976,1,0,190
Vinyl Single,Vinyl,Units,1977,1,0,190
Vinyl Single,Vinyl,Units,1978,1,0,190
Vinyl Single,Vinyl,Units,1979,1,0,212
Vinyl Single,Vinyl,Units,1980,1,0,157
Vinyl Single,Vinyl,Units,1981,1,0,154.7
Vinyl Single,Vinyl,Units,1982,1,0,137.2
Vinyl Single,Vinyl,Units,1983,1,0,124.8
Vinyl Single,Vinyl,Units,1984,1,0,131.5
Vinyl Single,Vinyl,Units,1985,1,0,120.7
Vinyl Single,Vinyl,Units,1986,1,0,93.9
Vinyl Single,Vinyl,Units,1987,1,0,82
Vinyl Single,Vinyl,Units,1988,1,0,65.6
Vinyl Single,Vinyl,Units,1989,1,0,36.6
Vinyl Single,Vinyl,Units,1990,1,0,27.6
Vinyl Single,Vinyl,Units,1991,1,0,22
Vinyl Single,Vinyl,Units,1992,1,0,19.8
Vinyl Single,Vinyl,Units,1993,1,0,15.1
Vinyl Single,Vinyl,Units,1994,1,0,11.7
Vinyl Single,Vinyl,Units,1995,1,0,10.2
Vinyl Single,Vinyl,Units,1996,1,0,10.1
Vinyl Single,Vinyl,Units,1997,1,0,7.5
Vinyl Single,Vinyl,Units,1998,1,0,5.4
Vinyl Single,Vinyl,Units,1999,1,0,5.3
Vinyl Single,Vinyl,Units,2000,1,0,4.8
Vinyl Single,Vinyl,Units,2001,1,0,5.5
Vinyl Single,Vinyl,Units,2002,1,0,4.4
Vinyl Single,Vinyl,Units,2003,1,0,3.8
Vinyl Single,Vinyl,Units,2004,1,0,3.5
Vinyl Single,Vinyl,Units,2005,1,0,2.3
Vinyl Single,Vinyl,Units,2006,1,0,1.5
Vinyl Single,Vinyl,Units,2007,1,0,0.6
Vinyl Single,Vinyl,Units,2008,1,0,0.4
Vinyl Single,Vinyl,Units,2009,1,0,0.3
Vinyl Single,Vinyl,Units,2010,1,0,0.3
Vinyl Single,Vinyl,Units,2011,1,0,0.4
Vinyl Single,Vinyl,Units,2012,1,0,0.388573687
Vinyl Single,Vinyl,Units,2013,1,0,0.315817054
Vinyl Single,Vinyl,Units,2014,1,0,0.481198278
Vinyl Single,Vinyl,Units,2015,1,0,0.50786991
Vinyl Single,Vinyl,Units,2016,1,0,0.404330651
Vinyl Single,Vinyl,Units,2017,1,0,0.402959365
Vinyl Single,Vinyl,Units,2018,1,0,0.346165002
Vinyl Single,Vinyl,Units,2019,1,0,0.336120488
8 - Track,Tapes,Units,1973,1,0,91
8 - Track,Tapes,Units,1974,1,0,96.7
8 - Track,Tapes,Units,1975,1,0,94.6
8 - Track,Tapes,Units,1976,1,0,106.1
8 - Track,Tapes,Units,1977,1,0,127.3
8 - Track,Tapes,Units,1978,1,0,133.6
8 - Track,Tapes,Units,1979,1,0,102.3
8 - Track,Tapes,Units,1980,1,0,85
8 - Track,Tapes,Units,1981,1,0,50
8 - Track,Tapes,Units,1982,1,0,13.7
8 - Track,Tapes,Units,1983,1,0,0
8 - Track,Tapes,Units,1984,1,0,0
8 - Track,Tapes,Units,1985,1,0,0
8 - Track,Tapes,Units,1986,1,0,0
8 - Track,Tapes,Units,1987,1,0,0
8 - Track,Tapes,Units,1988,1,0,0
8 - Track,Tapes,Units,1989,1,0,0
8 - Track,Tapes,Units,1990,1,0,0
8 - Track,Tapes,Units,1991,1,0,0
8 - Track,Tapes,Units,1992,1,0,0
8 - Track,Tapes,Units,1993,1,0,0
8 - Track,Tapes,Units,1994,1,0,0
8 - Track,Tapes,Units,1995,1,0,0
8 - Track,Tapes,Units,1996,1,0,0
8 - Track,Tapes,Units,1997,1,0,0
8 - Track,Tapes,Units,1998,1,0,0
8 - Track,Tapes,Units,1999,1,0,0
8 - Track,Tapes,Units,2000,1,0,0
8 - Track,Tapes,Units,2001,1,0,0
8 - Track,Tapes,Units,2002,1,0,0
8 - Track,Tapes,Units,2003,1,0,0
8 - Track,Tapes,Units,2004,1,0,0
8 - Track,Tapes,Units,2005,1,0,0
8 - Track,Tapes,Units,2006,1,0,0
8 - Track,Tapes,Units,2007,1,0,0
8 - Track,Tapes,Units,2008,1,0,0
8 - Track,Tapes,Units,2009,1,0,0
8 - Track,Tapes,Units,2010,1,0,0
8 - Track,Tapes,Units,2011,1,0,0
8 - Track,Tapes,Units,2012,1,0,
8 - Track,Tapes,Units,2013,1,0,
8 - Track,Tapes,Units,2014,1,0,
8 - Track,Tapes,Units,2015,1,0,
8 - Track,Tapes,Units,2016,1,0,
8 - Track,Tapes,Units,2017,1,0,
8 - Track,Tapes,Units,2018,1,0,
8 - Track,Tapes,Units,2019,1,0,
Other Tapes,Tapes,Units,1973,1,0,2.2
Other Tapes,Tapes,Units,1974,1,0,1.9
Other Tapes,Tapes,Units,1975,1,0,1.5
Other Tapes,Tapes,Units,1976,1,0,0.7
Other Tapes,Tapes,Units,1977,1,0,0
Other Tapes,Tapes,Units,1978,1,0,0
Other Tapes,Tapes,Units,1979,1,0,0
Other Tapes,Tapes,Units,1980,1,0,0
Other Tapes,Tapes,Units,1981,1,0,0
Other Tapes,Tapes,Units,1982,1,0,0
Other Tapes,Tapes,Units,1983,1,0,0
Other Tapes,Tapes,Units,1984,1,0,0
Other Tapes,Tapes,Units,1985,1,0,0
Other Tapes,Tapes,Units,1986,1,0,0
Other Tapes,Tapes,Units,1987,1,0,0
Other Tapes,Tapes,Units,1988,1,0,0
Other Tapes,Tapes,Units,1989,1,0,0
Other Tapes,Tapes,Units,1990,1,0,0
Other Tapes,Tapes,Units,1991,1,0,0
Other Tapes,Tapes,Units,1992,1,0,0
Other Tapes,Tapes,Units,1993,1,0,0
Other Tapes,Tapes,Units,1994,1,0,0
Other Tapes,Tapes,Units,1995,1,0,0
Other Tapes,Tapes,Units,1996,1,0,0
Other Tapes,Tapes,Units,1997,1,0,0
Other Tapes,Tapes,Units,1998,1,0,0
Other Tapes,Tapes,Units,1999,1,0,0
Other Tapes,Tapes,Units,2000,1,0,0
Other Tapes,Tapes,Units,2001,1,0,0
Other Tapes,Tapes,Units,2002,1,0,0
Other Tapes,Tapes,Units,2003,1,0,0
Other Tapes,Tapes,Units,2004,1,0,0
Other Tapes,Tapes,Units,2005,1,0,0
Other Tapes,Tapes,Units,2006,1,0,0
Other Tapes,Tapes,Units,2007,1,0,0
Other Tapes,Tapes,Units,2008,1,0,0
Other Tapes,Tapes,Units,2009,1,0,0
Other Tapes,Tapes,Units,2010,1,0,0
Other Tapes,Tapes,Units,2011,1,0,0
Other Tapes,Tapes,Units,2012,1,0,
Other Tapes,Tapes,Units,2013,1,0,
Other Tapes,Tapes,Units,2014,1,0,
Other Tapes,Tapes,Units,2015,1,0,
Other Tapes,Tapes,Units,2016,1,0,
Other Tapes,Tapes,Units,2017,1,0,
Other Tapes,Tapes,Units,2018,1,0,
Other Tapes,Tapes,Units,2019,1,0,
Music Video (Physical),Other,Units,1973,1,0,
Music Video (Physical),Other,Units,1974,1,0,
Music Video (Physical),Other,Units,1975,1,0,
Music Video (Physical),Other,Units,1976,1,0,
Music Video (Physical),Other,Units,1977,1,0,
Music Video (Physical),Other,Units,1978,1,0,
Music Video (Physical),Other,Units,1979,1,0,
Music Video (Physical),Other,Units,1980,1,0,
Music Video (Physical),Other,Units,1981,1,0,
Music Video (Physical),Other,Units,1982,1,0,
Music Video (Physical),Other,Units,1983,1,0,
Music Video (Physical),Other,Units,1984,1,0,
Music Video (Physical),Other,Units,1985,1,0,
Music Video (Physical),Other,Units,1986,1,0,
Music Video (Physical),Other,Units,1987,1,0,
Music Video (Physical),Other,Units,1988,1,0,
Music Video (Physical),Other,Units,1989,1,0,6.1
Music Video (Physical),Other,Units,1990,1,0,9.2
Music Video (Physical),Other,Units,1991,1,0,6.1
Music Video (Physical),Other,Units,1992,1,0,7.6
Music Video (Physical),Other,Units,1993,1,0,11
Music Video (Physical),Other,Units,1994,1,0,11.2
Music Video (Physical),Other,Units,1995,1,0,12.6
Music Video (Physical),Other,Units,1996,1,0,16.9
Music Video (Physical),Other,Units,1997,1,0,18.6
Music Video (Physical),Other,Units,1998,1,0,27.2
Music Video (Physical),Other,Units,1999,1,0,19.8
Music Video (Physical),Other,Units,2000,1,0,18.2
Music Video (Physical),Other,Units,2001,1,0,17.7
Music Video (Physical),Other,Units,2002,1,0,14.7
Music Video (Physical),Other,Units,2003,1,0,19.9
Music Video (Physical),Other,Units,2004,1,0,32.8
Music Video (Physical),Other,Units,2005,1,0,33.8
Music Video (Physical),Other,Units,2006,1,0,23.2
Music Video (Physical),Other,Units,2007,1,0,27.5
Music Video (Physical),Other,Units,2008,1,0,13.2
Music Video (Physical),Other,Units,2009,1,0,11.6
Music Video (Physical),Other,Units,2010,1,0,9.1
Music Video (Physical),Other,Units,2011,1,0,7.7
Music Video (Physical),Other,Units,2012,1,0,6.032725467
Music Video (Physical),Other,Units,2013,1,0,4.814626524
Music Video (Physical),Other,Units,2014,1,0,4.065323601
Music Video (Physical),Other,Units,2015,1,0,3.133228006
Music Video (Physical),Other,Units,2016,1,0,2.495531725
Music Video (Physical),Other,Units,2017,1,0,1.87712837
Music Video (Physical),Other,Units,2018,1,0,1.395058021
Music Video (Physical),Other,Units,2019,1,0,1.32294236
DVD Audio,DVD,Units,1973,1,0,
DVD Audio,DVD,Units,1974,1,0,
DVD Audio,DVD,Units,1975,1,0,
DVD Audio,DVD,Units,1976,1,0,
DVD Audio,DVD,Units,1977,1,0,
DVD Audio,DVD,Units,1978,1,0,
DVD Audio,DVD,Units,1979,1,0,
DVD Audio,DVD,Units,1980,1,0,
DVD Audio,DVD,Units,1981,1,0,
DVD Audio,DVD,Units,1982,1,0,
DVD Audio,DVD,Units,1983,1,0,
DVD Audio,DVD,Units,1984,1,0,
DVD Audio,DVD,Units,1985,1,0,
DVD Audio,DVD,Units,1986,1,0,
DVD Audio,DVD,Units,1987,1,0,
DVD Audio,DVD,Units,1988,1,0,
DVD Audio,DVD,Units,1989,1,0,
DVD Audio,DVD,Units,1990,1,0,
DVD Audio,DVD,Units,1991,1,0,
DVD Audio,DVD,Units,1992,1,0,
DVD Audio,DVD,Units,1993,1,0,
DVD Audio,DVD,Units,1994,1,0,
DVD Audio,DVD,Units,1995,1,0,
DVD Audio,DVD,Units,1996,1,0,
DVD Audio,DVD,Units,1997,1,0,
DVD Audio,DVD,Units,1998,1,0,
DVD Audio,DVD,Units,1999,1,0,
DVD Audio,DVD,Units,2000,1,0,
DVD Audio,DVD,Units,2001,1,0,0.263
DVD Audio,DVD,Units,2002,1,0,0.43
DVD Audio,DVD,Units,2003,1,0,0.4
DVD Audio,DVD,Units,2004,1,0,0.3
DVD Audio,DVD,Units,2005,1,0,0.5
DVD Audio,DVD,Units,2006,1,0,0.1
DVD Audio,DVD,Units,2007,1,0,0.2
DVD Audio,DVD,Units,2008,1,0,0.04
DVD Audio,DVD,Units,2009,1,0,0.1
DVD Audio,DVD,Units,2010,1,0,0.04
DVD Audio,DVD,Units,2011,1,0,0.01
DVD Audio,DVD,Units,2012,1,0,0.008533145
DVD Audio,DVD,Units,2013,1,0,-0.054735168
DVD Audio,DVD,Units,2014,1,0,0.066542722
DVD Audio,DVD,Units,2015,1,0,0.179506738
DVD Audio,DVD,Units,2016,1,0,0.085898932
DVD Audio,DVD,Units,2017,1,0,0.061332251
DVD Audio,DVD,Units,2018,1,0,0.092803246
DVD Audio,DVD,Units,2019,1,0,0.027982262
SACD,CD,Units,1973,1,0,
SACD,CD,Units,1974,1,0,
SACD,CD,Units,1975,1,0,
SACD,CD,Units,1976,1,0,
SACD,CD,Units,1977,1,0,
SACD,CD,Units,1978,1,0,
SACD,CD,Units,1979,1,0,
SACD,CD,Units,1980,1,0,
SACD,CD,Units,1981,1,0,
SACD,CD,Units,1982,1,0,
SACD,CD,Units,1983,1,0,
SACD,CD,Units,1984,1,0,
SACD,CD,Units,1985,1,0,
SACD,CD,Units,1986,1,0,
SACD,CD,Units,1987,1,0,
SACD,CD,Units,1988,1,0,
SACD,CD,Units,1989,1,0,
SACD,CD,Units,1990,1,0,
SACD,CD,Units,1991,1,0,
